nsim,int_2,suma,Type
10,6,0.07585,Posterior max
10,5,0.051075,Posterior max
10,4,0.01194,Posterior max
10,3,0.01139,Posterior max
10,2,0.01294,Posterior max
10,1,0.08061,Posterior max
10,0,0.756195,Posterior max
11,6,0.169415,Posterior max
11,5,0.08078,Posterior max
11,4,0.040005,Posterior max
11,3,0.043345,Posterior max
11,2,0.024955,Posterior max
11,1,0.099805,Posterior max
11,0,0.541695,Posterior max
12,6,0.10031,Posterior max
12,5,0.045235,Posterior max
12,4,0.05476,Posterior max
12,3,0.04785,Posterior max
12,2,0.022475,Posterior max
12,1,0.036725,Posterior max
12,0,0.692645,Posterior max
13,6,0.13405,Posterior max
13,5,0.100635,Posterior max
13,4,0.04153,Posterior max
13,3,0.055155,Posterior max
13,2,0.02455,Posterior max
13,1,0.062265,Posterior max
13,0,0.581815,Posterior max
14,6,0.085265,Posterior max
14,5,0.03897,Posterior max
14,4,0.038945,Posterior max
14,3,0.01451,Posterior max
14,2,0.00434,Posterior max
14,1,0.048495,Posterior max
14,0,0.769475,Posterior max
15,6,0.08647,Posterior max
15,5,0.07337,Posterior max
15,4,0.009725,Posterior max
15,3,0.022955,Posterior max
15,2,0.033245,Posterior max
15,1,0.063905,Posterior max
15,0,0.71033,Posterior max
16,6,0.181785,Posterior max
16,5,0.120785,Posterior max
16,4,0.02864,Posterior max
16,3,0.02394,Posterior max
16,2,0.033255,Posterior max
16,1,0.042565,Posterior max
16,0,0.56903,Posterior max
17,6,0.091055,Posterior max
17,5,0.059155,Posterior max
17,4,0.046115,Posterior max
17,3,0.01326,Posterior max
17,2,0.02767,Posterior max
17,1,0.158875,Posterior max
17,0,0.60387,Posterior max
18,6,0.21848,Posterior max
18,5,0.15179,Posterior max
18,4,0.03399,Posterior max
18,3,0.031115,Posterior max
18,2,0.007685,Posterior max
18,1,0.05853,Posterior max
18,0,0.49841,Posterior max
19,6,0.10306,Posterior max
19,5,0.04002,Posterior max
19,4,0.040055,Posterior max
19,3,0.040475,Posterior max
19,2,0.031685,Posterior max
19,1,0.069025,Posterior max
19,0,0.67568,Posterior max
20,6,0.07202,Posterior max
20,5,0.04488,Posterior max
20,4,0.074155,Posterior max
20,3,0.02167,Posterior max
20,2,0.002115,Posterior max
20,1,0.04873,Posterior max
20,0,0.73643,Posterior max
21,6,0.10924,Posterior max
21,5,0.01905,Posterior max
21,4,0.01911,Posterior max
21,3,0.01717,Posterior max
21,2,0.006855,Posterior max
21,1,0.04778,Posterior max
21,0,0.780795,Posterior max
22,6,0.103845,Posterior max
22,5,0.052245,Posterior max
22,4,0.02357,Posterior max
22,3,0.046985,Posterior max
22,2,0.018105,Posterior max
22,1,0.05918,Posterior max
22,0,0.69607,Posterior max
23,6,0.13167,Posterior max
23,5,0.063615,Posterior max
23,4,0.05545,Posterior max
23,3,0.028515,Posterior max
23,2,0.01697,Posterior max
23,1,0.07051,Posterior max
23,0,0.63327,Posterior max
24,6,0.068305,Posterior max
24,5,0.07642,Posterior max
24,4,0.058305,Posterior max
24,3,0.050225,Posterior max
24,2,0.04842,Posterior max
24,1,0.095195,Posterior max
24,0,0.60313,Posterior max
25,6,0.09965,Posterior max
25,5,0.094675,Posterior max
25,4,0.029015,Posterior max
25,3,0.01397,Posterior max
25,2,0.027945,Posterior max
25,1,0.076745,Posterior max
25,0,0.658,Posterior max
26,6,0.15218,Posterior max
26,5,0.079475,Posterior max
26,4,0.070725,Posterior max
26,3,0.03614,Posterior max
26,2,0.033435,Posterior max
26,1,0.07596,Posterior max
26,0,0.552085,Posterior max
27,6,0.1444,Posterior max
27,5,0.07211,Posterior max
27,4,0.01624,Posterior max
27,3,0.003595,Posterior max
27,2,0.00903,Posterior max
27,1,0.115785,Posterior max
27,0,0.63884,Posterior max
28,6,0.092465,Posterior max
28,5,0.06919,Posterior max
28,4,0.023115,Posterior max
28,3,0.0169,Posterior max
28,2,0.010535,Posterior max
28,1,0.0301,Posterior max
28,0,0.757695,Posterior max
29,6,0.119465,Posterior max
29,5,0.06268,Posterior max
29,4,0.03945,Posterior max
29,3,0.011065,Posterior max
29,2,0.00877,Posterior max
29,1,0.07473,Posterior max
29,0,0.68384,Posterior max
