tree,len
"(n3:27132.23526739385852125,(n2:5774.08482716164326121,(n0:5681.83287299480798538,n1:5681.83287299480798538):92.25195416683436633):21358.15044023221707903);",4909.0
"(n3:27132.23526739385852125,(n2:5710.70611861764064088,(n0:5681.83287299480798538,n1:5681.83287299480798538):28.87324562283174600):21421.52914877621878986);",14974.0
"(n3:27132.23526739385852125,(n0:5681.83287299480798538,(n1:5667.16073559411961469,n2:5667.16073559412052418):14.67213740068837069):21450.40239439905053587);",10691.0
"(n3:27132.23526739385852125,(n2:5681.83287299480889487,(n0:4200.33838002208358375,n1:4200.33838002208358375):1481.49449297272440162):21450.40239439905053587);",24137.0
"(n3:25186.09848600559053011,(n2:5681.83287299480889487,(n0:4200.33838002208358375,n1:4200.33838002208358375):1481.49449297272440162):19504.26561301078254473);",5625.0
"(n3:25186.09848600559053011,(n1:5710.70611861763973138,(n2:5681.83287299480889487,n0:5681.83287299480798538):28.87324562283174600):19475.39236738795079873);",1238.0
"(n3:25186.09848600559053011,(n1:7053.87327132000245911,(n2:5681.83287299480889487,n0:5681.83287299480798538):1372.04039832519447373):18132.22521468558625202);",11838.0
"(n3:27132.23526739385852125,(n1:7053.87327132000245911,(n2:5681.83287299480889487,n0:5681.83287299480798538):1372.04039832519447373):20078.36199607385424315);",37317.0
"(n3:27132.23526739385852125,(n1:7462.54640110403306608,(n2:5681.83287299480889487,n0:5681.83287299480798538):1780.71352810922417120):19669.68886628982727416);",17906.0
"(n3:28490.69397431258403230,(n1:7462.54640110403306608,(n2:5681.83287299480889487,n0:5681.83287299480798538):1780.71352810922417120):21028.14757320855278522);",15725.0
"(n3:28490.69397431258403230,(n1:7338.35595638674385555,(n2:5681.83287299480889487,n0:5681.83287299480798538):1656.52308339193587017):21152.33801792583835777);",15141.0
"(n3:26710.54825078080102685,(n1:7338.35595638674385555,(n2:5681.83287299480889487,n0:5681.83287299480798538):1656.52308339193587017):19372.19229439405535231);",4078.0
"(n3:28490.69397431258403230,(n1:7338.35595638674385555,(n2:5681.83287299480889487,n0:5681.83287299480798538):1656.52308339193587017):21152.33801792583835777);",6986.0
"(n3:28490.69397431258403230,(n1:6574.07951731023604225,(n2:5681.83287299480889487,n0:5681.83287299480798538):892.24664431542805687):21916.61445700234617107);",3157.0
"(n3:26405.36825659558962798,(n1:6574.07951731023604225,(n2:5681.83287299480889487,n0:5681.83287299480798538):892.24664431542805687):19831.28873928535176674);",1798.0
"(n3:25615.83943692883258336,(n1:6574.07951731023604225,(n2:5681.83287299480889487,n0:5681.83287299480798538):892.24664431542805687):19041.75991961859472212);",5988.0
"(n3:25615.83943692883258336,(n1:7338.35595638674385555,(n2:5681.83287299480889487,n0:5681.83287299480798538):1656.52308339193587017):18277.48348054208690883);",17814.0
"(n3:25615.83943692883258336,(n1:7056.02436158341697592,(n2:5681.83287299480889487,n0:5681.83287299480798538):1374.19148858860899054):18559.81507534541378845);",39547.0
"(n3:25615.83943692883258336,(n1:7056.02436158341697592,(n0:5360.86358784334333905,n2:5360.86358784334333905):1695.16077374007454637):18559.81507534541378845);",9270.0
"(n3:25615.83943692883258336,(n1:6439.46831319517878001,(n0:5360.86358784334333905,n2:5360.86358784334333905):1078.60472535183635046):19176.37112373365380336);",9247.0
"(n3:25472.93420669701299630,(n1:6439.46831319517878001,(n0:5360.86358784334333905,n2:5360.86358784334333905):1078.60472535183635046):19033.46589350183421629);",56836.0
"(n3:25472.93420669701299630,(n1:6439.46831319517878001,(n0:5945.39357044929420226,n2:5945.39357044929511176):494.07474274588457774):19033.46589350183421629);",957.0
"(n3:25472.93420669701299630,(n0:6439.46831319517878001,(n1:5444.96854140916912002,n2:5444.96854140917002951):994.49977178600965999):19033.46589350183421629);",68289.0
"(n3:25472.93420669701299630,(n2:6439.46831319517968950,(n0:5774.08482716164326121,n1:5774.08482716164326121):665.38348603353642829):19033.46589350183421629);",7299.0
"(n3:25472.93420669701299630,(n1:6439.46831319517878001,(n0:5444.96854140916912002,n2:5444.96854140917002951):994.49977178600965999):19033.46589350183421629);",43410.0
"(n3:25472.93420669701299630,(n1:6439.46831319517878001,(n0:5347.17590337217188790,n2:5347.17590337217279739):1092.29240982300689211):19033.46589350183421629);",8793.0
"(n3:25472.93420669701299630,(n1:6160.13919632936449489,(n0:5347.17590337217188790,n2:5347.17590337217279739):812.96329295719260699):19312.79501036764850141);",4038.0
"(n3:25472.93420669701299630,(n1:6160.13919632936449489,(n0:5444.96854140916912002,n2:5444.96854140917002951):715.17065492019537487):19312.79501036764850141);",28516.0
"(n3:25472.93420669701299630,(n0:6160.13919632936449489,(n1:5774.08482716164326121,n2:5774.08482716164326121):386.05436916772214317):19312.79501036764850141);",38907.0
"(n3:25472.93420669701299630,(n1:6160.13919632936449489,(n0:5466.38337405918355216,n2:5466.38337405918446166):693.75582227018094272):19312.79501036764850141);",22994.0
"(n3:25472.93420669701299630,(n2:6160.13919632936540438,(n0:5774.08482716164326121,n1:5774.08482716164326121):386.05436916772214317):19312.79501036764850141);",11489.0
