tree,len
"(n3:25462.39980321342954994,(n2:5585.95278955214871530,(n0:4965.87983007639013522,n1:4965.87983007639013522):620.07295947575767059):19876.44701366127992515);",6581.0
"(n3:25462.39980321342954994,(n2:7949.67219740397104033,(n0:4965.87983007639013522,n1:4965.87983007639013522):2983.79236732757999562):17512.72760580945760012);",15655.0
"(n3:25462.39980321342954994,(n2:7949.67219740397104033,(n0:4221.51423240623989841,n1:4221.51423240623989841):3728.15796499773023243):17512.72760580945760012);",786.0
"(n3:25462.39980321342954994,(n2:7949.67219740397104033,(n0:5201.23942534572415752,n1:5201.23942534572415752):2748.43277205824597331):17512.72760580945760012);",7458.0
"(n3:26439.50081277951903758,(n2:7949.67219740397104033,(n0:5201.23942534572415752,n1:5201.23942534572415752):2748.43277205824597331):18489.82861537554708775);",1860.0
"(n3:26439.50081277951903758,(n2:10224.09064668723658542,(n0:5201.23942534572415752,n1:5201.23942534572415752):5022.85122134151151840):16215.41016609228245215);",22388.0
"(n3:26439.50081277951903758,(n2:10224.09064668723658542,(n0:4592.74409794005259755,n1:4592.74409794005259755):5631.34654874718398787):16215.41016609228245215);",3516.0
"(n3:26439.50081277951903758,(n2:10224.09064668723658542,(n0:4965.87983007639013522,n1:4965.87983007639013522):5258.21081661084554071):16215.41016609228245215);",122501.0
"(n3:26439.50081277951903758,(n2:10224.09064668723658542,(n0:4246.36282183977709792,n1:4246.36282183977709792):5977.72782484745948750):16215.41016609228245215);",11345.0
"(n3:26439.50081277951903758,(n2:9023.49201512904073752,(n0:4246.36282183977709792,n1:4246.36282183977709792):4777.12919328926363960):17416.00879765048011905);",2082.0
"(n3:25330.42130330239524483,(n2:9023.49201512904073752,(n0:4246.36282183977709792,n1:4246.36282183977709792):4777.12919328926363960):16306.92928817335450731);",2306.0
"(n3:26439.50081277951903758,(n2:9023.49201512904073752,(n0:4246.36282183977709792,n1:4246.36282183977709792):4777.12919328926363960):17416.00879765048011905);",8105.0
"(n3:26526.82619509073992958,(n2:9023.49201512904073752,(n0:4246.36282183977709792,n1:4246.36282183977709792):4777.12919328926363960):17503.33417996169737307);",1984.0
"(n3:26550.68388392335691606,(n2:9023.49201512904073752,(n0:4246.36282183977709792,n1:4246.36282183977709792):4777.12919328926363960):17527.19186879431799753);",18712.0
"(n3:26550.68388392335691606,(n2:9825.01096467347997532,(n0:4246.36282183977709792,n1:4246.36282183977709792):5578.64814283370287740):16725.67291924987512175);",12972.0
"(n3:26550.68388392335691606,(n2:9825.01096467347997532,(n0:4373.79418774383702839,n1:4373.79418774383702839):5451.21677692964203743):16725.67291924987512175);",1212.0
"(n3:26550.68388392335691606,(n2:10671.21994811621334520,(n0:4373.79418774383702839,n1:4373.79418774383702839):6297.42576037237540731):15879.46393580714357086);",13867.0
"(n3:26550.68388392335691606,(n0:10671.21994811621334520,(n1:6568.62763223760157416,n2:6568.62763223760248366):4102.59231587861086155):15879.46393580714357086);",8331.0
"(n3:26550.68388392335691606,(n0:10525.84045747931304504,(n1:6568.62763223760157416,n2:6568.62763223760248366):3957.21282524171056139):16024.84342644404387102);",10912.0
"(n3:26550.68388392335691606,(n2:10525.84045747931304504,(n0:6055.54367026135696506,n1:6055.54367026135696506):4470.29678721795607999):16024.84342644404387102);",399.0
"(n3:26056.33911456607165746,(n2:10525.84045747931304504,(n0:6055.54367026135696506,n1:6055.54367026135696506):4470.29678721795607999):15530.49865708675861242);",11222.0
"(n3:26056.33911456607165746,(n2:10525.84045747931304504,(n0:5789.32840783858773648,n1:5789.32840783858773648):4736.51204964072530856):15530.49865708675861242);",31412.0
"(n3:26056.33911456607165746,(n2:10525.84045747931304504,(n0:4049.81316682675014818,n1:4049.81316682675014818):6476.02729065256244212):15530.49865708675861242);",35308.0
"(n3:26056.33911456607165746,(n2:10525.84045747931304504,(n0:5789.32840783858773648,n1:5789.32840783858773648):4736.51204964072530856):15530.49865708675861242);",25310.0
"(n3:26056.33911456607165746,(n1:5789.32840783858773648,(n0:5309.22455168619126198,n2:5309.22455168619126198):480.10385615239647450):20267.01070672748392099);",62876.0
"(n3:26056.33911456607165746,(n2:5789.32840783858773648,(n0:5348.51304073672690720,n1:5348.51304073672690720):440.81536710186082928):20267.01070672748392099);",6616.0
"(n3:26056.33911456607165746,(n1:5789.32840783858773648,(n0:5309.22455168619126198,n2:5309.22455168619126198):480.10385615239647450):20267.01070672748392099);",6809.0
"(n3:25330.42130330239524483,(n1:5789.32840783858773648,(n0:5309.22455168619126198,n2:5309.22455168619126198):480.10385615239647450):19541.09289546380750835);",34920.0
"(n3:25330.42130330239524483,(n0:5789.32840783858773648,(n1:5348.51304073672690720,n2:5348.51304073672690720):440.81536710186082928):19541.09289546380750835);",25658.0
"(n3:25330.42130330239524483,(n1:5789.32840783858773648,(n0:5309.22455168619126198,n2:5309.22455168619126198):480.10385615239647450):19541.09289546380750835);",18224.0
"(n3:25330.42130330239524483,(n0:5309.22455168619126198,(n1:5252.16250415469949075,n2:5252.16250415469949075):57.06204753149177122):20021.19675161620398285);",10110.0
"(n3:26056.33911456607165746,(n0:5309.22455168619126198,(n1:5252.16250415469949075,n2:5252.16250415469949075):57.06204753149177122):20747.11456287988039549);",52309.0
"(n3:27272.91370667275623418,(n0:5309.22455168619126198,(n1:5252.16250415469949075,n2:5252.16250415469949075):57.06204753149177122):21963.68915498656497221);",4534.0
"(n3:27272.91370667275623418,(n2:6568.62763223760248366,(n0:5309.22455168619126198,n1:5309.22455168619126198):1259.40308055141122168):20704.28607443515284103);",17257.0
"(n3:27272.91370667275623418,(n2:6568.62763223760248366,(n0:5215.38375172783526068,n1:5215.38375172783526068):1353.24388050976722297):20704.28607443515284103);",38072.0
"(n3:25532.35982494721611147,(n2:6568.62763223760248366,(n0:5215.38375172783526068,n1:5215.38375172783526068):1353.24388050976722297):18963.73219270961271832);",23936.0
"(n3:25532.35982494721611147,(n2:8395.32801465674856445,(n0:5215.38375172783526068,n1:5215.38375172783526068):3179.94426292891330377):17137.03181029046754702);",48533.0
