tree,len
"(n3:25677.87777857407490956,(n0:6736.84332946678659937,(n1:6218.25509470328324824,n2:6218.25509470328415773):518.58823476350335113):18941.03444910728649120);",43151.0
"(n3:25814.93840069653379032,(n0:6736.84332946678659937,(n1:6218.25509470328324824,n2:6218.25509470328415773):518.58823476350335113):19078.09507122974537197);",16203.0
"(n3:25814.93840069653379032,(n0:6238.55434767413680675,(n1:6218.25509470328324824,n2:6218.25509470328415773):20.29925297085264901):19576.38405302239698358);",13796.0
"(n3:25814.93840069653379032,(n0:6736.84332946678659937,(n1:6218.25509470328324824,n2:6218.25509470328415773):518.58823476350335113):19078.09507122974537197);",2255.0
"(n3:25814.93840069653379032,(n2:6218.25509470328415773,(n0:4614.58560970593680395,n1:4614.58560970593680395):1603.66948499734735378):19596.68330599325054209);",13654.0
"(n3:25814.93840069653379032,(n2:6097.99128393062983378,(n0:4614.58560970593680395,n1:4614.58560970593680395):1483.40567422469302983):19716.94711676590304705);",3905.0
"(n3:25814.93840069653379032,(n0:6736.84332946678659937,(n2:6097.99128393062983378,n1:6097.99128393062892428):638.85204553615767509):19078.09507122974537197);",47411.0
"(n3:25814.93840069653379032,(n0:7563.21384807632057345,(n2:6097.99128393062983378,n1:6097.99128393062892428):1465.22256414569073968):18251.72455262021321687);",22652.0
"(n3:25822.29314578250341583,(n0:7563.21384807632057345,(n2:6097.99128393062983378,n1:6097.99128393062892428):1465.22256414569073968):18259.07929770618284238);",3487.0
"(n3:25822.29314578250341583,(n0:9162.27288033640252252,(n2:6097.99128393062983378,n1:6097.99128393062892428):3064.28159640577268874):16660.02026544610271230);",15123.0
"(n3:26352.91478207144973567,(n0:9162.27288033640252252,(n2:6097.99128393062983378,n1:6097.99128393062892428):3064.28159640577268874):17190.64190173504903214);",29503.0
"(n3:26352.91478207144973567,(n0:9161.75784379560718662,(n2:6097.99128393062983378,n1:6097.99128393062892428):3063.76655986497735285):17191.15693827584254905);",23848.0
"(n3:26478.81537644282434485,(n0:9161.75784379560718662,(n2:6097.99128393062983378,n1:6097.99128393062892428):3063.76655986497735285):17317.05753264721715823);",22312.0
"(n3:26478.81537644282434485,(n1:6097.99128393062892428,(n0:5567.76927636118307419,n2:5567.76927636118398368):530.22200756944585009):20380.82409251219360158);",48351.0
"(n3:26478.81537644282434485,(n1:10677.55191048509186658,(n0:5567.76927636118307419,n2:5567.76927636118398368):5109.78263412390788289):15801.26346595773247827);",45848.0
"(n3:26478.81537644282434485,(n1:7554.70449084819483687,(n0:5567.76927636118307419,n2:5567.76927636118398368):1986.93521448701176269):18924.11088559462950798);",2671.0
"(n3:26478.81537644282434485,(n1:10677.55191048509186658,(n0:5567.76927636118307419,n2:5567.76927636118398368):5109.78263412390788289):15801.26346595773247827);",15144.0
"(n3:26478.81537644282434485,(n1:9833.27420016145879345,(n0:5567.76927636118307419,n2:5567.76927636118398368):4265.50492380027480976):16645.54117628136737039);",362.0
"(n3:26478.81537644282434485,(n1:14020.78425331441394519,(n0:5567.76927636118307419,n2:5567.76927636118398368):8453.01497695322905201):12458.03112312841039966);",4601.0
"(n3:26478.81537644282434485,(n2:5567.76927636118398368,(n0:4947.93486779224440397,n1:4947.93486779224440397):619.83440856893957971):20911.04610008163945167);",22066.0
"(n3:26478.81537644282434485,(n2:6341.29027010928348318,(n0:4947.93486779224440397,n1:4947.93486779224440397):1393.35540231703907921):20137.52510633354177116);",414.0
"(n3:26478.81537644282434485,(n0:6341.29027010928257369,(n1:5221.23372635654595797,n2:5221.23372635654595797):1120.05654375273752521):20137.52510633354177116);",116.0
"(n3:26478.81537644282434485,(n0:14020.78425331441394519,(n1:5221.23372635654595797,n2:5221.23372635654595797):8799.55052695786798722):12458.03112312841039966);",6887.0
"(n3:26478.81537644282434485,(n0:6238.55434767413680675,(n1:5221.23372635654595797,n2:5221.23372635654595797):1017.32062131759084878):20240.26102876868753810);",33530.0
"(n3:26478.81537644282434485,(n1:7347.48024089506543532,(n0:6238.55434767413680675,n2:6238.55434767413680675):1108.92589322092862858):19131.33513554775709054);",820.0
"(n3:26478.81537644282434485,(n0:7347.48024089506543532,(n1:5567.76927636118307419,n2:5567.76927636118398368):1779.71096453388145164):19131.33513554775709054);",23519.0
"(n3:26478.81537644282434485,(n2:5567.76927636118398368,(n0:4475.22475091297928884,n1:4475.22475091297928884):1092.54452544820469484):20911.04610008163945167);",14507.0
"(n3:26478.81537644282434485,(n2:5567.76927636118398368,(n0:4639.50348631965425739,n1:4639.50348631965425739):928.26579004152881680):20911.04610008163945167);",19569.0
"(n3:26478.81537644282434485,(n2:7347.48024089506543532,(n0:4639.50348631965425739,n1:4639.50348631965425739):2707.97675457541026844):19131.33513554775709054);",39854.0
"(n3:26478.81537644282434485,(n2:6296.83302449985058047,(n0:4639.50348631965425739,n1:4639.50348631965425739):1657.32953818019541359):20181.98235194297376438);",345.0
"(n3:26478.81537644282434485,(n2:7347.48024089506543532,(n0:4639.50348631965425739,n1:4639.50348631965425739):2707.97675457541026844):19131.33513554775709054);",126209.0
"(n3:25260.94180564646376297,(n2:7347.48024089506543532,(n0:4639.50348631965425739,n1:4639.50348631965425739):2707.97675457541026844):17913.46156475140014663);",3740.0
"(n3:25260.94180564646376297,(n2:8122.30869938755768089,(n0:4639.50348631965425739,n1:4639.50348631965425739):3482.80521306790251401):17138.63310625890517258);",61351.0
"(n3:25336.23775968318659579,(n2:8122.30869938755768089,(n0:4639.50348631965425739,n1:4639.50348631965425739):3482.80521306790251401):17213.92906029562800541);",3408.0
"(n3:25260.94180564646376297,(n2:8122.30869938755768089,(n0:4639.50348631965425739,n1:4639.50348631965425739):3482.80521306790251401):17138.63310625890517258);",8595.0
"(n3:25260.94180564646376297,(n2:10216.76383848433579260,(n0:4639.50348631965425739,n1:4639.50348631965425739):5577.26035216468062572):15044.17796716212797037);",15102.0
"(n3:25260.94180564646376297,(n2:16779.36838134057688876,(n0:4639.50348631965425739,n1:4639.50348631965425739):12139.86489502092081239):8481.57342430588687421);",5313.0
"(n3:25260.94180564646376297,(n2:7158.65998783552731766,(n0:4639.50348631965425739,n1:4639.50348631965425739):2519.15650151587215078):18102.28181781093735481);",525.0
"(n3:25336.23775968318659579,(n2:7158.65998783552731766,(n0:4639.50348631965425739,n1:4639.50348631965425739):2519.15650151587215078):18177.57777184766018763);",7191.0
"(n3:25971.84258463134756312,(n2:7158.65998783552731766,(n0:4639.50348631965425739,n1:4639.50348631965425739):2519.15650151587215078):18813.18259679582115496);",16738.0
"(n3:26478.81537644282434485,(n2:7158.65998783552731766,(n0:4639.50348631965425739,n1:4639.50348631965425739):2519.15650151587215078):19320.15538860729793669);",29683.0
"(n3:26478.81537644282434485,(n2:8385.47644607628899394,(n0:4639.50348631965425739,n1:4639.50348631965425739):3745.97295975663382706):18093.33893036653535091);",16407.0
"(n3:26478.81537644282434485,(n2:8385.47644607628899394,(n0:4895.55842735531041399,n1:4895.55842735531041399):3489.91801872097857995):18093.33893036653535091);",17435.0
"(n3:26478.81537644282434485,(n2:8385.47644607628899394,(n0:4639.50348631965425739,n1:4639.50348631965425739):3745.97295975663382706):18093.33893036653535091);",20485.0
"(n3:26478.81537644282434485,(n2:8385.47644607628899394,(n0:4895.55842735531041399,n1:4895.55842735531041399):3489.91801872097857995):18093.33893036653535091);",3389.0
"(n3:26478.81537644282434485,(n2:8385.47644607628899394,(n0:5394.39149490284216881,n1:5394.39149490284216881):2991.08495117344591563):18093.33893036653535091);",20710.0
"(n3:25260.94180564646376297,(n2:8385.47644607628899394,(n0:5394.39149490284216881,n1:5394.39149490284216881):2991.08495117344591563):16875.46535957017476903);",2107.0
"(n3:25260.94180564646376297,(n2:8385.47644607628899394,(n0:4895.55842735531041399,n1:4895.55842735531041399):3489.91801872097857995):16875.46535957017476903);",434.0
"(n3:25260.94180564646376297,(n2:8385.47644607628899394,(n0:4148.47852645853345166,n1:4148.47852645853345166):4236.99791961775463278):16875.46535957017476903);",40630.0
