tree,len
"(n3:25697.62083656501272344,(n1:5692.84483316270416253,(n0:5238.14624226148225716,n2:5238.14624226148316666):454.69859090122190537):20004.77600340230856091);",3452.0
"(n3:25697.62083656501272344,(n1:5692.84483316270416253,(n0:5367.50564407344609208,n2:5367.50564407344700157):325.33918908925807045):20004.77600340230856091);",105852.0
"(n3:25697.62083656501272344,(n2:5777.81238321835189709,(n1:5692.84483316270416253,n0:5692.84483316270416253):84.96755005564682506):19919.80845334666082636);",4268.0
"(n3:25697.62083656501272344,(n2:10318.57522329775019898,(n1:5692.84483316270416253,n0:5692.84483316270416253):4625.73039013504512695):15379.04561326726252446);",12472.0
"(n3:25697.62083656501272344,(n2:9718.53207391878822818,(n1:5692.84483316270416253,n0:5692.84483316270416253):4025.68724075608315616):15979.08876264622449526);",53608.0
"(n3:25697.62083656501272344,(n2:7156.45276956448196870,(n1:5692.84483316270416253,n0:5692.84483316270416253):1463.60793640177689667):18541.16806700052984525);",9432.0
"(n3:25697.62083656501272344,(n2:5777.81238321835189709,(n1:5692.84483316270416253,n0:5692.84483316270416253):84.96755005564682506):19919.80845334666082636);",19644.0
"(n3:25885.26959625300150947,(n2:5777.81238321835189709,(n1:5692.84483316270416253,n0:5692.84483316270416253):84.96755005564682506):20107.45721303464961238);",8944.0
"(n3:25885.26959625300150947,(n2:5777.81238321835189709,(n0:4507.72167270038335118,n1:4507.72167270038335118):1270.09071051796763641):20107.45721303464961238);",44439.0
"(n3:25697.62083656501272344,(n2:5777.81238321835189709,(n0:4507.72167270038335118,n1:4507.72167270038335118):1270.09071051796763641):19919.80845334666082636);",5308.0
"(n3:25697.62083656501272344,(n2:5777.81238321835189709,(n0:4224.27343036948514055,n1:4224.27343036948514055):1553.53895284886675654):19919.80845334666082636);",18205.0
"(n3:25697.62083656501272344,(n2:5692.84483316270507203,(n0:4224.27343036948514055,n1:4224.27343036948514055):1468.57140279321993148):20004.77600340230856091);",76692.0
"(n3:25697.62083656501272344,(n2:5692.84483316270507203,(n0:5367.50564407344609208,n1:5367.50564407344609208):325.33918908925807045):20004.77600340230856091);",25501.0
"(n3:25202.39689120235198061,(n2:5692.84483316270507203,(n0:5367.50564407344609208,n1:5367.50564407344609208):325.33918908925807045):19509.55205803964781808);",22698.0
"(n3:25202.39689120235198061,(n2:5692.84483316270507203,(n0:5680.15584017750188650,n1:5680.15584017750188650):12.68899298520318553):19509.55205803964781808);",29274.0
"(n3:25202.39689120235198061,(n2:5692.84483316270507203,(n0:4149.69837221099624003,n1:4149.69837221099624003):1543.14646095170883200):19509.55205803964781808);",54273.0
"(n3:25202.39689120235198061,(n2:6609.82702380674709275,(n0:4149.69837221099624003,n1:4149.69837221099624003):2460.12865159575085272):18592.56986739560670685);",1035.0
"(n3:25202.39689120235198061,(n2:8057.36638438882437185,(n0:4149.69837221099624003,n1:4149.69837221099624003):3907.66801217782813183):17145.03050681352760876);",17466.0
"(n3:28151.79435763812216464,(n2:8057.36638438882437185,(n0:4149.69837221099624003,n1:4149.69837221099624003):3907.66801217782813183):20094.42797324929779279);",4441.0
"(n3:28151.79435763812216464,(n2:5759.35619071938162961,(n0:4149.69837221099624003,n1:4149.69837221099624003):1609.65781850838538958):22392.43816691874235403);",3419.0
"(n3:28151.79435763812216464,(n1:8057.36638438882437185,(n2:5759.35619071938162961,n0:5759.35619071938162961):2298.01019366944274225):20094.42797324929779279);",30807.0
"(n3:28151.79435763812216464,(n1:6725.79757494579462218,(n2:5759.35619071938162961,n0:5759.35619071938162961):966.44138422641390207):21425.99678269232754246);",1630.0
"(n3:25697.62083656501272344,(n1:6725.79757494579462218,(n2:5759.35619071938162961,n0:5759.35619071938162961):966.44138422641390207):18971.82326161921810126);",14284.0
"(n3:25697.62083656501272344,(n2:6725.79757494579553168,(n0:6164.72525622622742958,n1:6164.72525622622742958):561.07231871956719260):18971.82326161921810126);",47643.0
"(n3:25580.71002749407853116,(n2:6725.79757494579553168,(n0:6164.72525622622742958,n1:6164.72525622622742958):561.07231871956719260):18854.91245254828390898);",32067.0
"(n3:25580.71002749407853116,(n0:6851.14703654794720933,(n2:6725.79757494579553168,n1:6725.79757494579462218):125.34946160215258715):18729.56299094613132183);",18531.0
"(n3:25850.05626510878209956,(n0:6851.14703654794720933,(n2:6725.79757494579553168,n1:6725.79757494579462218):125.34946160215258715):18998.90922856083489023);",1203.0
"(n3:25441.29971861285594059,(n0:6851.14703654794720933,(n2:6725.79757494579553168,n1:6725.79757494579462218):125.34946160215258715):18590.15268206490873126);",17753.0
"(n3:25441.29971861285594059,(n2:6851.14703654794811882,(n0:6274.02216820139437914,n1:6274.02216820139437914):577.12486834655373968):18590.15268206490873126);",6107.0
"(n3:25441.29971861285594059,(n0:6851.14703654794720933,(n1:5937.03567117912825779,n2:5937.03567117912916729):914.11136536881895154):18590.15268206490873126);",32737.0
"(n3:25441.29971861285594059,(n2:5937.03567117912916729,(n0:4715.54486689081568329,n1:4715.54486689081568329):1221.49080428831348399):19504.26404743372768280);",10970.0
"(n3:25441.29971861285594059,(n1:5937.03567117912825779,(n0:5653.15604933357826667,n2:5653.15604933357917616):283.87962184554999112):19504.26404743372768280);",29.0
"(n3:25441.29971861285594059,(n1:6851.14703654794720933,(n0:5653.15604933357826667,n2:5653.15604933357917616):1197.99098721436894266):18590.15268206490873126);",1347.0
"(n3:26405.96733742982905824,(n1:6851.14703654794720933,(n0:5653.15604933357826667,n2:5653.15604933357917616):1197.99098721436894266):19554.82030088188184891);",37485.0
