tree,len
"(n3:27787.49353853592765518,(n2:6023.23546312859252794,(n0:4003.54856916109338272,n1:4003.54856916109338272):2019.68689396749869047):21764.25807540733512724);",22189.0
"(n3:26171.00578117853001459,(n2:6023.23546312859252794,(n0:4003.54856916109338272,n1:4003.54856916109338272):2019.68689396749869047):20147.77031804993748665);",17457.0
"(n3:26171.00578117853001459,(n2:5488.47028656155907811,(n0:4003.54856916109338272,n1:4003.54856916109338272):1484.92171740046524064):20682.53549461697184597);",77773.0
"(n3:26171.00578117853001459,(n2:5488.47028656155907811,(n0:4022.73479592959847650,n1:4022.73479592959847650):1465.73549063196014686):20682.53549461697184597);",3820.0
"(n3:26171.00578117853001459,(n2:5488.47028656155907811,(n0:4817.34465663322953333,n1:4817.34465663322953333):671.12562992832863529):20682.53549461697184597);",30845.0
"(n3:26171.00578117853001459,(n2:5488.47028656155907811,(n0:4630.67899983472671011,n1:4630.67899983472671011):857.79128672683236800):20682.53549461697184597);",15544.0
"(n3:26171.00578117853001459,(n2:6880.30560092774976511,(n0:4630.67899983472671011,n1:4630.67899983472671011):2249.62660109302305500):19290.70018025078024948);",35587.0
"(n3:26171.00578117853001459,(n2:6880.30560092774976511,(n0:4774.29555422467637982,n1:4774.29555422467637982):2106.01004670307338529):19290.70018025078024948);",13119.0
"(n3:27787.49353853592765518,(n2:6880.30560092774976511,(n0:4774.29555422467637982,n1:4774.29555422467637982):2106.01004670307338529):20907.18793760817789007);",27993.0
"(n3:27787.49353853592765518,(n2:6023.23546312859252794,(n0:4774.29555422467637982,n1:4774.29555422467637982):1248.93990890391614812):21764.25807540733512724);",22346.0
"(n3:25876.11514488308603177,(n2:6023.23546312859252794,(n0:4774.29555422467637982,n1:4774.29555422467637982):1248.93990890391614812):19852.87968175449350383);",34841.0
"(n3:25876.11514488308603177,(n2:6023.23546312859252794,(n0:4076.69123324531437902,n1:4076.69123324531437902):1946.54422988327769417):19852.87968175449350383);",20180.0
"(n3:26301.00851759927536477,(n2:6023.23546312859252794,(n0:4076.69123324531437902,n1:4076.69123324531437902):1946.54422988327769417):20277.77305447068283684);",54423.0
"(n3:26301.00851759927536477,(n2:6023.23546312859252794,(n0:4805.92389890590857249,n1:4805.92389890590857249):1217.31156422268395545):20277.77305447068283684);",891.0
"(n3:26301.00851759927536477,(n2:6023.23546312859252794,(n0:4044.08653069294587112,n1:4044.08653069294587112):1979.14893243564620207):20277.77305447068283684);",15598.0
"(n3:26301.00851759927536477,(n2:6880.30560092774976511,(n0:4044.08653069294587112,n1:4044.08653069294587112):2836.21907023480343923):19420.70291667152559967);",7448.0
