gr,name,start,end,topology,int_1,int_2
201,8,150603,151759,0,1,1
202,15,151760,157242,0,2,1
203,64,157243,157388,2,0,1
204,36,157389,157667,1,0,1
205,15,157668,158328,0,2,1
206,92,158329,159259,3,0,1
207,70,159260,159865,2,1,1
208,15,159866,160575,0,2,1
209,36,160576,160692,1,0,1
210,91,160693,160774,3,0,0
211,92,160775,162727,3,0,1
212,98,162728,163804,3,1,1
213,70,163805,164191,2,1,1
214,15,164192,164463,0,2,1
215,29,164464,164583,0,4,1
216,70,164584,164958,2,1,1
217,98,164959,165456,3,1,1
218,92,165457,165927,3,0,1
219,98,165928,166853,3,1,1
220,92,166854,168388,3,0,1
221,75,168389,168652,2,1,6
222,92,168653,169364,3,0,1
223,47,169365,169542,1,1,6
224,45,169543,169749,1,1,4
225,4,169750,169754,0,0,4
226,45,169755,170532,1,1,4
227,32,170533,172071,0,4,4
228,30,172072,174100,0,4,2
229,2,174101,174443,0,0,2
230,30,174444,174703,0,4,2
231,34,174704,174913,0,4,6
232,32,174914,176488,0,4,4
233,4,176489,177073,0,0,4
234,1,177074,178343,0,0,1
235,0,178344,178769,0,0,0
236,1,178770,178814,0,0,1
237,29,178815,179243,0,4,1
238,92,179244,180199,3,0,1
239,98,180200,180271,3,1,1
240,92,180272,180428,3,0,1
241,29,180429,181513,0,4,1
242,31,181514,182076,0,4,3
243,94,182077,182117,3,0,3
244,38,182118,183296,1,0,3
245,41,183297,183502,1,0,6
246,38,183503,183625,1,0,3
247,31,183626,184471,0,4,3
248,72,184472,184837,2,1,3
249,31,184838,185884,0,4,3
250,34,185885,189940,0,4,6
251,6,189941,190245,0,0,6
252,27,190246,190419,0,3,6
253,23,190420,191381,0,3,2
254,2,191382,192021,0,0,2
255,23,192022,192994,0,3,2
256,22,192995,194511,0,3,1
257,21,194512,199073,0,3,0
258,35,199074,199999,1,0,0
