gr,name,start,end,topology,int_1,int_2
1,18,0,163,0,2,4
2,19,164,938,0,2,5
3,18,939,2271,0,2,4
4,19,2272,4133,0,2,5
5,12,4134,4346,0,1,5
6,9,4347,4374,0,1,2
7,12,4375,5365,0,1,5
8,19,5366,6567,0,2,5
9,12,6568,6775,0,1,5
10,19,6776,7374,0,2,5
11,16,7375,9662,0,2,2
12,19,9663,9826,0,2,5
13,20,9827,12030,0,2,6
14,18,12031,14897,0,2,4
15,19,14898,15336,0,2,5
16,16,15337,17357,0,2,2
17,18,17358,18923,0,2,4
18,17,18924,19693,0,2,3
19,14,19694,20838,0,2,0
20,35,20839,21018,1,0,0
21,14,21019,22099,0,2,0
22,17,22100,22861,0,2,3
23,24,22862,23375,0,3,3
24,21,23376,25059,0,3,0
25,28,25060,26552,0,4,0
26,31,26553,26851,0,4,3
27,32,26852,27302,0,4,4
28,34,27303,28407,0,4,6
29,75,28408,30190,2,1,6
30,34,30191,30741,0,4,6
31,103,30742,31214,3,1,6
32,97,31215,31810,3,0,6
33,69,31811,32992,2,0,6
34,67,32993,33005,2,0,4
35,28,33006,33285,0,4,0
36,32,33286,34159,0,4,4
37,45,34160,34166,1,1,4
38,64,34167,34390,2,0,1
39,67,34391,34989,2,0,4
40,101,34990,35007,3,1,4
41,22,35008,35123,0,3,1
42,25,35124,35147,0,3,4
43,4,35148,35766,0,0,4
44,11,35767,35915,0,1,4
45,8,35916,35922,0,1,1
46,11,35923,35967,0,1,4
47,7,35968,36648,0,1,0
48,11,36649,38089,0,1,4
49,25,38090,38590,0,3,4
50,4,38591,38890,0,0,4
51,25,38891,40137,0,3,4
52,4,40138,40810,0,0,4
53,6,40811,42293,0,0,6
54,1,42294,42640,0,0,1
55,103,42641,42904,3,1,6
56,112,42905,42933,3,3,6
57,17,42934,43407,0,2,3
58,15,43408,43585,0,2,1
59,75,43586,43895,2,1,6
60,84,43896,44034,2,3,6
61,27,44035,45129,0,3,6
62,25,45130,45649,0,3,4
63,50,45650,45941,1,2,4
64,115,45942,46450,3,4,6
65,39,46451,46466,1,0,4
66,41,46467,46740,1,0,6
67,27,46741,47314,0,3,6
68,112,47315,47447,3,3,6
69,97,47448,47912,3,0,6
70,93,47913,49383,3,0,2
71,80,49384,49832,2,2,6
72,41,49833,50471,1,0,6
73,34,50472,50514,0,4,6
74,33,50515,50785,0,4,5
75,40,50786,51462,1,0,5
76,37,51463,51853,1,0,2
77,99,51854,55314,3,1,2
78,93,55315,55627,3,0,2
79,99,55628,56125,3,1,2
80,42,56126,56247,1,1,1
81,102,56248,56252,3,1,5
82,1,56253,56329,0,0,1
83,5,56330,56475,0,0,5
84,6,56476,56773,0,0,6
85,2,56774,59020,0,0,2
86,80,59021,59247,2,2,6
87,84,59248,59835,2,3,6
88,41,59836,60360,1,0,6
89,38,60361,61161,1,0,3
90,49,61162,61348,1,2,3
91,50,61349,61727,1,2,4
92,51,61728,62726,1,2,5
93,40,62727,63140,1,0,5
94,41,63141,63181,1,0,6
95,52,63182,63202,1,2,6
96,13,63203,63831,0,1,6
97,12,63832,64134,0,1,5
98,51,64135,64372,1,2,5
99,19,64373,64603,0,2,5
100,51,64604,65299,1,2,5
101,26,65300,65815,0,3,5
102,21,65816,67784,0,3,0
103,24,67785,67877,0,3,3
104,21,67878,68871,0,3,0
105,26,68872,71104,0,3,5
106,27,71105,71268,0,3,6
107,26,71269,71971,0,3,5
108,40,71972,73161,1,0,5
109,39,73162,73563,1,0,4
110,40,73564,73584,1,0,5
111,68,73585,73688,2,0,5
112,0,73689,74176,0,0,0
113,5,74177,74692,0,0,5
114,68,74693,76853,2,0,5
115,19,76854,76860,0,2,5
116,20,76861,76866,0,2,6
117,19,76867,77382,0,2,5
118,20,77383,77415,0,2,6
119,19,77416,77589,0,2,5
120,96,77590,77959,3,0,5
121,19,77960,79293,0,2,5
122,17,79294,79836,0,2,3
123,3,79837,80263,0,0,3
124,24,80264,81034,0,3,3
125,94,81035,81268,3,0,3
126,96,81269,82348,3,0,5
127,5,82349,82625,0,0,5
128,3,82626,82701,0,0,3
129,66,82702,83095,2,0,3
130,63,83096,83110,2,0,0
131,35,83111,83494,1,0,0
132,21,83495,83634,0,3,0
133,91,83635,84215,3,0,0
134,0,84216,86820,0,0,0
135,1,86821,87175,0,0,1
136,64,87176,87826,2,0,1
137,92,87827,88729,3,0,1
138,42,88730,88791,1,1,1
139,64,88792,89142,2,0,1
140,63,89143,89505,2,0,0
141,21,89506,89615,0,3,0
142,22,89616,90018,0,3,1
143,21,90019,91141,0,3,0
144,14,91142,91899,0,2,0
145,63,91900,93602,2,0,0
146,68,93603,94898,2,0,5
147,7,94899,96562,0,1,0
148,64,96563,98541,2,0,1
149,92,98542,99038,3,0,1
150,96,99039,99311,3,0,5
151,21,99312,99694,0,3,0
152,26,99695,100257,0,3,5
153,5,100258,100290,0,0,5
154,0,100291,100465,0,0,0
155,96,100466,100857,3,0,5
156,68,100858,101285,2,0,5
157,69,101286,101459,2,0,6
158,21,101460,102114,0,3,0
159,97,102115,102384,3,0,6
160,96,102385,102555,3,0,5
161,92,102556,102808,3,0,1
162,47,102809,103702,1,1,6
163,92,103703,104762,3,0,1
164,97,104763,105015,3,0,6
165,34,105016,105292,0,4,6
166,28,105293,105710,0,4,0
167,34,105711,106382,0,4,6
168,28,106383,107270,0,4,0
169,34,107271,107352,0,4,6
170,69,107353,108059,2,0,6
171,97,108060,108706,3,0,6
172,95,108707,109034,3,0,4
173,32,109035,110235,0,4,4
174,78,110236,110762,2,2,4
175,11,110763,110932,0,1,4
176,95,110933,112480,3,0,4
177,106,112481,113373,3,2,4
178,11,113374,113517,0,1,4
179,8,113518,114436,0,1,1
180,102,114437,115697,3,1,5
181,40,115698,116013,1,0,5
182,19,116014,116037,0,2,5
183,15,116038,116603,0,2,1
184,29,116604,117002,0,4,1
185,102,117003,117119,3,1,5
186,99,117120,117451,3,1,2
187,102,117452,117755,3,1,5
188,101,117756,118220,3,1,4
189,95,118221,118378,3,0,4
190,82,118379,119273,2,3,4
191,3,119274,119310,0,0,3
192,38,119311,119666,1,0,3
193,110,119667,120184,3,3,4
194,3,120185,122678,0,0,3
195,44,122679,124083,1,1,3
196,92,124084,124975,3,0,1
197,72,124976,125134,2,1,3
198,92,125135,125189,3,0,1
199,72,125190,126058,2,1,3
200,73,126059,126546,2,1,4
201,72,126547,127909,2,1,3
202,70,127910,128739,2,1,1
203,1,128740,129009,0,0,1
204,3,129010,129609,0,0,3
205,4,129610,129967,0,0,4
206,1,129968,131973,0,0,1
207,5,131974,132475,0,0,5
208,3,132476,132627,0,0,3
209,72,132628,134026,2,1,3
210,24,134027,134260,0,3,3
211,22,134261,135575,0,3,1
212,29,135576,136716,0,4,1
213,73,136717,137490,2,1,4
214,45,137491,137550,1,1,4
215,95,137551,140440,3,0,4
216,96,140441,141019,3,0,5
217,63,141020,141216,2,0,0
218,14,141217,141379,0,2,0
219,28,141380,142961,0,4,0
220,92,142962,143565,3,0,1
221,73,143566,144276,2,1,4
222,67,144277,144416,2,0,4
223,73,144417,144845,2,1,4
224,114,144846,146547,3,4,5
225,115,146548,148552,3,4,6
226,103,148553,148681,3,1,6
227,29,148682,149200,0,4,1
228,103,149201,149525,3,1,6
229,97,149526,149697,3,0,6
230,96,149698,150316,3,0,5
231,97,150317,151093,3,0,6
232,27,151094,151267,0,3,6
233,25,151268,152484,0,3,4
234,95,152485,152508,3,0,4
235,25,152509,153077,0,3,4
236,11,153078,154762,0,1,4
237,13,154763,154798,0,1,6
238,7,154799,156119,0,1,0
239,69,156120,156695,2,0,6
240,7,156696,156941,0,1,0
241,97,156942,157398,3,0,6
242,7,157399,158038,0,1,0
243,11,158039,158377,0,1,4
244,18,158378,158404,0,2,4
245,14,158405,158623,0,2,0
246,0,158624,161097,0,0,0
247,4,161098,161214,0,0,4
248,3,161215,161559,0,0,3
249,82,161560,165047,2,3,4
250,50,165048,165871,1,2,4
251,4,165872,166281,0,0,4
252,0,166282,169167,0,0,0
253,2,169168,169940,0,0,2
254,23,169941,170822,0,3,2
255,65,170823,170969,2,0,2
256,50,170970,171259,1,2,4
257,95,171260,171433,3,0,4
258,97,171434,173290,3,0,6
259,69,173291,174248,2,0,6
260,27,174249,174417,0,3,6
261,25,174418,175170,0,3,4
262,27,175171,175384,0,3,6
263,26,175385,175571,0,3,5
264,68,175572,177017,2,0,5
265,67,177018,177814,2,0,4
266,11,177815,178371,0,1,4
267,7,178372,178375,0,1,0
268,12,178376,179035,0,1,5
269,19,179036,180071,0,2,5
270,12,180072,180795,0,1,5
271,19,180796,182407,0,2,5
272,12,182408,183869,0,1,5
273,19,183870,184073,0,2,5
274,5,184074,184470,0,0,5
275,4,184471,184812,0,0,4
276,3,184813,184917,0,0,3
277,5,184918,185185,0,0,5
278,6,185186,185314,0,0,6
279,5,185315,185575,0,0,5
280,0,185576,186484,0,0,0
281,5,186485,186487,0,0,5
282,12,186488,186510,0,1,5
283,11,186511,187168,0,1,4
284,57,187169,187982,1,4,4
285,59,187983,188787,1,4,6
286,87,188788,188973,2,4,6
287,69,188974,189101,2,0,6
288,67,189102,189325,2,0,4
289,7,189326,190214,0,1,0
290,11,190215,191450,0,1,4
291,12,191451,192031,0,1,5
292,11,192032,192761,0,1,4
293,25,192762,194763,0,3,4
294,23,194764,195267,0,3,2
295,22,195268,195502,0,3,1
296,8,195503,197706,0,1,1
297,1,197707,198119,0,0,1
298,36,198120,199423,1,0,1
299,22,199424,199543,0,3,1
300,1,199544,199683,0,0,1
301,4,199684,199999,0,0,4
