gr,name,start,end,topology,int_1,int_2
1,106,0,110,3,2,4
2,9,111,966,0,1,2
3,106,967,1045,3,2,4
4,82,1046,2054,2,3,4
5,73,2055,2742,2,1,4
6,11,2743,3213,0,1,4
7,25,3214,3302,0,3,4
8,73,3303,3739,2,1,4
9,75,3740,4057,2,1,6
10,34,4058,4259,0,4,6
11,30,4260,4689,0,4,2
12,2,4690,4806,0,0,2
13,108,4807,5026,3,2,6
14,103,5027,5245,3,1,6
15,108,5246,5770,3,2,6
16,2,5771,6063,0,0,2
17,6,6064,6685,0,0,6
18,47,6686,7086,1,1,6
19,45,7087,7300,1,1,4
20,43,7301,7442,1,1,2
21,30,7443,7448,0,4,2
22,29,7449,7472,0,4,1
23,32,7473,10371,0,4,4
24,101,10372,10928,3,1,4
25,50,10929,11012,1,2,4
26,51,11013,11030,1,2,5
27,74,11031,12006,2,1,5
28,79,12007,12052,2,2,5
29,74,12053,12251,2,1,5
30,79,12252,12550,2,2,5
31,74,12551,12607,2,1,5
32,75,12608,12938,2,1,6
33,29,12939,13162,0,4,1
34,103,13163,13208,3,1,6
35,29,13209,14184,0,4,1
36,75,14185,15054,2,1,6
37,97,15055,16073,3,0,6
38,95,16074,16222,3,0,4
39,11,16223,16488,0,1,4
40,13,16489,16718,0,1,6
41,8,16719,17457,0,1,1
42,7,17458,17562,0,1,0
43,8,17563,18350,0,1,1
44,92,18351,20528,3,0,1
45,46,20529,21599,1,1,5
46,19,21600,21624,0,2,5
47,18,21625,21930,0,2,4
48,14,21931,23920,0,2,0
49,15,23921,25403,0,2,1
50,14,25404,25660,0,2,0
51,15,25661,27838,0,2,1
52,1,27839,28650,0,0,1
53,6,28651,29930,0,0,6
54,0,29931,30569,0,0,0
55,14,30570,30790,0,2,0
56,28,30791,30795,0,4,0
57,91,30796,31385,3,0,0
58,14,31386,31485,0,2,0
59,91,31486,34649,3,0,0
60,0,34650,34893,0,0,0
61,63,34894,35272,2,0,0
62,14,35273,35489,0,2,0
63,15,35490,35553,0,2,1
64,14,35554,37291,0,2,0
65,92,37292,38020,3,0,1
66,29,38021,38174,0,4,1
67,92,38175,39926,3,0,1
68,64,39927,40446,2,0,1
69,98,40447,40492,3,1,1
70,29,40493,41380,0,4,1
71,15,41381,41393,0,2,1
72,1,41394,41804,0,0,1
73,2,41805,42326,0,0,2
74,30,42327,43495,0,4,2
75,2,43496,43707,0,0,2
76,5,43708,44744,0,0,5
77,96,44745,45175,3,0,5
78,33,45176,45495,0,4,5
79,28,45496,46336,0,4,0
80,34,46337,47365,0,4,6
81,28,47366,48562,0,4,0
82,97,48563,49070,3,0,6
83,92,49071,49908,3,0,1
84,15,49909,51095,0,2,1
85,64,51096,53454,2,0,1
86,15,53455,53466,0,2,1
87,1,53467,53947,0,0,1
88,0,53948,53966,0,0,0
89,5,53967,54397,0,0,5
90,102,54398,54642,3,1,5
91,19,54643,55221,0,2,5
92,16,55222,55487,0,2,2
93,9,55488,59450,0,1,2
94,65,59451,59621,2,0,2
95,68,59622,59935,2,0,5
96,69,59936,59949,2,0,6
97,66,59950,60435,2,0,3
98,69,60436,61281,2,0,6
99,80,61282,62334,2,2,6
100,69,62335,62675,2,0,6
101,80,62676,63003,2,2,6
102,78,63004,63142,2,2,4
103,43,63143,64901,1,1,2
104,37,64902,65677,1,0,2
105,43,65678,65899,1,1,2
106,99,65900,65919,3,1,2
107,43,65920,66081,1,1,2
108,23,66082,66711,0,3,2
109,43,66712,67105,1,1,2
110,64,67106,67787,2,0,1
111,70,67788,68316,2,1,1
112,64,68317,68849,2,0,1
113,29,68850,69848,0,4,1
114,92,69849,69961,3,0,1
115,0,69962,70939,0,0,0
116,21,70940,72438,0,3,0
117,0,72439,72610,0,0,0
118,21,72611,73758,0,3,0
119,91,73759,74976,3,0,0
120,0,74977,76046,0,0,0
121,21,76047,77264,0,3,0
122,28,77265,77471,0,4,0
123,97,77472,78058,3,0,6
124,96,78059,78398,3,0,5
125,79,78399,80798,2,2,5
126,19,80799,82547,0,2,5
127,5,82548,83725,0,0,5
128,4,83726,84287,0,0,4
129,5,84288,84563,0,0,5
130,1,84564,85607,0,0,1
131,2,85608,86516,0,0,2
132,43,86517,87389,1,1,2
133,47,87390,88868,1,1,6
134,6,88869,88942,0,0,6
135,47,88943,89649,1,1,6
136,64,89650,90136,2,0,1
137,14,90137,90214,0,2,0
138,64,90215,90236,2,0,1
139,66,90237,90535,2,0,3
140,3,90536,91952,0,0,3
141,94,91953,91986,3,0,3
142,49,91987,92882,1,2,3
143,65,92883,92916,2,0,2
144,49,92917,93682,1,2,3
145,3,93683,94251,0,0,3
146,0,94252,94760,0,0,0
147,94,94761,94812,3,0,3
148,28,94813,94860,0,4,0
149,94,94861,96155,3,0,3
150,21,96156,96167,0,3,0
151,0,96168,97510,0,0,0
152,28,97511,99204,0,4,0
153,93,99205,101077,3,0,2
154,92,101078,102264,3,0,1
155,45,102265,102346,1,1,4
156,50,102347,102494,1,2,4
157,39,102495,102899,1,0,4
158,40,102900,103507,1,0,5
159,39,103508,103564,1,0,4
160,82,103565,103981,2,3,4
161,25,103982,104561,0,3,4
162,23,104562,104900,0,3,2
163,25,104901,105436,0,3,4
164,26,105437,105467,0,3,5
165,96,105468,105694,3,0,5
166,95,105695,105981,3,0,4
167,94,105982,105988,3,0,3
168,95,105989,106818,3,0,4
169,21,106819,106956,0,3,0
170,0,106957,107114,0,0,0
171,4,107115,107935,0,0,4
172,5,107936,109263,0,0,5
173,58,109264,109618,1,4,5
174,51,109619,109640,1,2,5
175,5,109641,110693,0,0,5
176,3,110694,111065,0,0,3
177,5,111066,112756,0,0,5
178,83,112757,113563,2,3,5
179,68,113564,113992,2,0,5
180,21,113993,114645,0,3,0
181,64,114646,114862,2,0,1
182,68,114863,114993,2,0,5
183,21,114994,115370,0,3,0
184,28,115371,115412,0,4,0
185,14,115413,115443,0,2,0
186,28,115444,116378,0,4,0
187,63,116379,118608,2,0,0
188,64,118609,120027,2,0,1
189,99,120028,121983,3,1,2
190,64,121984,122277,2,0,1
191,65,122278,123466,2,0,2
192,71,123467,123994,2,1,2
193,16,123995,125045,0,2,2
194,71,125046,125856,2,1,2
195,92,125857,126231,3,0,1
196,1,126232,126626,0,0,1
197,29,126627,126847,0,4,1
198,30,126848,127762,0,4,2
199,23,127763,128235,0,3,2
200,43,128236,128282,1,1,2
201,106,128283,128740,3,2,4
202,30,128741,128967,0,4,2
203,9,128968,129131,0,1,2
204,11,129132,129181,0,1,4
205,32,129182,129250,0,4,4
206,50,129251,129304,1,2,4
207,99,129305,129671,3,1,2
208,101,129672,131926,3,1,4
209,8,131927,132186,0,1,1
210,11,132187,132800,0,1,4
211,8,132801,133379,0,1,1
212,36,133380,134156,1,0,1
213,8,134157,134246,0,1,1
214,9,134247,134379,0,1,2
215,7,134380,137103,0,1,0
216,28,137104,139011,0,4,0
217,64,139012,139839,2,0,1
218,69,139840,140344,2,0,6
219,67,140345,141321,2,0,4
220,64,141322,144976,2,0,1
221,69,144977,145032,2,0,6
222,27,145033,145593,0,3,6
223,97,145594,148022,3,0,6
224,20,148023,148219,0,2,6
225,97,148220,150619,3,0,6
226,20,150620,151884,0,2,6
227,19,151885,152230,0,2,5
228,20,152231,152817,0,2,6
229,14,152818,156589,0,2,0
230,0,156590,157180,0,0,0
231,14,157181,157632,0,2,0
232,96,157633,158257,3,0,5
233,97,158258,158267,3,0,6
234,27,158268,159293,0,3,6
235,23,159294,159463,0,3,2
236,9,159464,160355,0,1,2
237,23,160356,160754,0,3,2
238,2,160755,160813,0,0,2
239,79,160814,163302,2,2,5
240,74,163303,163413,2,1,5
241,26,163414,164254,0,3,5
242,25,164255,164649,0,3,4
243,4,164650,164682,0,0,4
244,25,164683,164857,0,3,4
245,4,164858,166055,0,0,4
246,2,166056,166425,0,0,2
247,4,166426,166466,0,0,4
248,0,166467,166564,0,0,0
249,95,166565,167063,3,0,4
250,4,167064,167069,0,0,4
251,95,167070,167749,3,0,4
252,0,167750,168937,0,0,0
253,96,168938,169547,3,0,5
254,5,169548,169555,0,0,5
255,33,169556,169817,0,4,5
256,28,169818,170309,0,4,0
257,96,170310,172200,3,0,5
258,111,172201,172405,3,3,5
259,66,172406,172432,2,0,3
260,31,172433,174753,0,4,3
261,30,174754,175976,0,4,2
262,32,175977,176544,0,4,4
263,30,176545,177042,0,4,2
264,105,177043,177498,3,2,3
265,82,177499,178153,2,3,4
266,110,178154,179239,3,3,4
267,31,179240,179455,0,4,3
268,110,179456,181899,3,3,4
269,101,181900,182101,3,1,4
270,39,182102,182451,1,0,4
271,4,182452,182575,0,0,4
272,39,182576,183074,1,0,4
273,101,183075,183342,3,1,4
274,103,183343,183662,3,1,6
275,100,183663,183720,3,1,3
276,38,183721,184961,1,0,3
277,24,184962,185827,0,3,3
278,26,185828,186878,0,3,5
279,24,186879,187366,0,3,3
280,3,187367,187756,0,0,3
281,0,187757,187907,0,0,0
282,21,187908,188756,0,3,0
283,27,188757,191683,0,3,6
284,22,191684,191919,0,3,1
285,27,191920,193136,0,3,6
286,84,193137,193455,2,3,6
287,17,193456,193491,0,2,3
288,20,193492,193912,0,2,6
289,13,193913,194252,0,1,6
290,80,194253,194935,2,2,6
291,13,194936,195000,0,1,6
292,20,195001,195342,0,2,6
293,15,195343,195386,0,2,1
294,75,195387,195509,2,1,6
295,15,195510,196221,0,2,1
296,16,196222,197228,0,2,2
297,19,197229,197446,0,2,5
298,68,197447,197765,2,0,5
299,64,197766,197931,2,0,1
300,101,197932,199999,3,1,4
