gr,name,start,end,topology,int_1,int_2
1,30,0,203,0,4,2
2,99,204,419,3,1,2
3,80,420,932,2,2,6
4,75,933,1704,2,1,6
5,80,1705,1892,2,2,6
6,56,1893,3202,1,3,6
7,41,3203,3822,1,0,6
8,40,3823,4016,1,0,5
9,36,4017,4212,1,0,1
10,40,4213,6281,1,0,5
11,41,6282,6321,1,0,6
12,37,6322,7097,1,0,2
13,23,7098,7274,0,3,2
14,37,7275,7617,1,0,2
15,9,7618,7664,0,1,2
16,7,7665,9380,0,1,0
17,8,9381,9572,0,1,1
18,7,9573,9722,0,1,0
19,8,9723,10181,0,1,1
20,7,10182,11052,0,1,0
21,8,11053,12095,0,1,1
22,92,12096,12487,3,0,1
23,8,12488,13528,0,1,1
24,92,13529,14857,3,0,1
25,8,14858,16814,0,1,1
26,7,16815,18941,0,1,0
27,12,18942,19540,0,1,5
28,10,19541,19770,0,1,3
29,9,19771,20472,0,1,2
30,8,20473,21610,0,1,1
31,36,21611,21740,1,0,1
32,29,21741,22946,0,4,1
33,36,22947,24479,1,0,1
34,35,24480,25953,1,0,0
35,28,25954,26411,0,4,0
36,7,26412,26613,0,1,0
37,28,26614,27822,0,4,0
38,7,27823,31433,0,1,0
39,28,31434,31753,0,4,0
40,7,31754,34009,0,1,0
41,8,34010,34681,0,1,1
42,11,34682,35006,0,1,4
43,7,35007,35063,0,1,0
44,11,35064,35076,0,1,4
45,39,35077,35476,1,0,4
46,32,35477,35650,0,4,4
47,28,35651,35739,0,4,0
48,7,35740,35953,0,1,0
49,0,35954,37949,0,0,0
50,7,37950,37966,0,1,0
51,28,37967,41613,0,4,0
52,29,41614,42405,0,4,1
53,28,42406,42663,0,4,0
54,29,42664,43399,0,4,1
55,28,43400,43579,0,4,0
56,35,43580,44328,1,0,0
57,65,44329,45501,2,0,2
58,71,45502,45769,2,1,2
59,36,45770,46771,1,0,1
60,15,46772,46843,0,2,1
61,14,46844,47415,0,2,0
62,97,47416,47954,3,0,6
63,14,47955,51598,0,2,0
64,18,51599,52694,0,2,4
65,67,52695,53133,2,0,4
66,91,53134,53148,3,0,0
67,63,53149,54484,2,0,0
68,91,54485,55466,3,0,0
69,63,55467,56131,2,0,0
70,91,56132,56644,3,0,0
71,63,56645,57992,2,0,0
72,14,57993,59269,0,2,0
73,28,59270,62965,0,4,0
74,91,62966,64671,3,0,0
75,35,64672,64989,1,0,0
76,63,64990,65046,2,0,0
77,91,65047,65217,3,0,0
78,63,65218,66406,2,0,0
79,14,66407,66695,0,2,0
80,91,66696,67556,3,0,0
81,28,67557,71516,0,4,0
82,7,71517,72589,0,1,0
83,21,72590,73283,0,3,0
84,7,73284,74048,0,1,0
85,91,74049,74824,3,0,0
86,63,74825,75919,2,0,0
87,91,75920,80779,3,0,0
88,35,80780,81160,1,0,0
89,63,81161,83704,2,0,0
90,28,83705,85209,0,4,0
91,35,85210,85645,1,0,0
92,91,85646,86235,3,0,0
93,35,86236,86292,1,0,0
94,91,86293,90081,3,0,0
95,63,90082,92838,2,0,0
96,28,92839,93016,0,4,0
97,91,93017,93047,3,0,0
98,14,93048,94385,0,2,0
99,91,94386,95435,3,0,0
100,0,95436,96050,0,0,0
101,14,96051,96231,0,2,0
102,0,96232,96387,0,0,0
103,63,96388,96393,2,0,0
104,35,96394,96424,1,0,0
105,0,96425,97131,0,0,0
106,63,97132,97611,2,0,0
107,0,97612,97794,0,0,0
108,14,97795,97956,0,2,0
109,0,97957,97977,0,0,0
110,63,97978,99966,2,0,0
111,35,99967,100365,1,0,0
112,63,100366,100694,2,0,0
113,91,100695,101314,3,0,0
114,35,101315,107053,1,0,0
115,63,107054,108829,2,0,0
116,7,108830,109410,0,1,0
117,63,109411,109814,2,0,0
118,7,109815,112185,0,1,0
119,14,112186,113014,0,2,0
120,0,113015,117631,0,0,0
121,14,117632,119834,0,2,0
122,91,119835,120638,3,0,0
123,14,120639,120831,0,2,0
124,91,120832,121470,3,0,0
125,14,121471,123322,0,2,0
126,35,123323,125486,1,0,0
127,91,125487,127959,3,0,0
128,21,127960,128248,0,3,0
129,14,128249,132878,0,2,0
130,21,132879,137564,0,3,0
131,91,137565,137579,3,0,0
132,7,137580,137637,0,1,0
133,91,137638,138938,3,0,0
134,7,138939,141043,0,1,0
135,91,141044,141094,3,0,0
136,65,141095,141474,2,0,2
137,16,141475,145777,0,2,2
138,23,145778,147186,0,3,2
139,16,147187,147554,0,2,2
140,23,147555,147936,0,3,2
141,9,147937,147989,0,1,2
142,12,147990,151561,0,1,5
143,11,151562,152941,0,1,4
144,25,152942,154932,0,3,4
145,22,154933,155147,0,3,1
146,23,155148,156155,0,3,2
147,27,156156,158147,0,3,6
148,13,158148,158803,0,1,6
149,41,158804,158885,1,0,6
150,20,158886,159547,0,2,6
151,17,159548,159767,0,2,3
152,20,159768,160327,0,2,6
153,13,160328,160532,0,1,6
154,11,160533,160544,0,1,4
155,13,160545,160779,0,1,6
156,41,160780,161047,1,0,6
157,56,161048,161153,1,3,6
158,41,161154,162752,1,0,6
159,35,162753,164344,1,0,0
160,97,164345,164380,3,0,6
161,35,164381,165052,1,0,0
162,66,165053,166360,2,0,3
163,28,166361,167086,0,4,0
164,21,167087,168512,0,3,0
165,66,168513,169059,2,0,3
166,10,169060,169279,0,1,3
167,12,169280,169626,0,1,5
168,55,169627,170017,1,3,5
169,33,170018,170321,0,4,5
170,30,170322,170370,0,4,2
171,107,170371,170552,3,2,5
172,9,170553,171494,0,1,2
173,93,171495,172072,3,0,2
174,97,172073,172188,3,0,6
175,41,172189,172196,1,0,6
176,34,172197,172949,0,4,6
177,32,172950,173068,0,4,4
178,34,173069,173804,0,4,6
179,30,173805,173819,0,4,2
180,34,173820,175078,0,4,6
181,33,175079,175120,0,4,5
182,117,175121,175507,3,5,6
183,69,175508,177004,2,0,6
184,63,177005,177733,2,0,0
185,94,177734,179076,3,0,3
186,10,179077,179087,0,1,3
187,12,179088,179915,0,1,5
188,33,179916,181623,0,4,5
189,31,181624,183223,0,4,3
190,66,183224,183705,2,0,3
191,65,183706,184262,2,0,2
192,37,184263,184636,1,0,2
193,30,184637,184719,0,4,2
194,37,184720,185378,1,0,2
195,38,185379,187288,1,0,3
196,35,187289,187583,1,0,0
197,38,187584,188729,1,0,3
198,72,188730,189839,2,1,3
199,74,189840,191088,2,1,5
200,40,191089,191427,1,0,5
201,12,191428,195544,0,1,5
202,96,195545,196008,3,0,5
203,12,196009,196399,0,1,5
204,13,196400,196500,0,1,6
205,12,196501,197070,0,1,5
206,11,197071,199517,0,1,4
