gr,name,start,end,topology,int_1,int_2
1,39,0,245,1,0,4
2,25,246,699,0,3,4
3,39,700,947,1,0,4
4,18,948,1027,0,2,4
5,67,1028,1433,2,0,4
6,95,1434,1625,3,0,4
7,21,1626,4267,0,3,0
8,14,4268,5007,0,2,0
9,21,5008,5529,0,3,0
10,14,5530,6121,0,2,0
11,20,6122,6265,0,2,6
12,41,6266,8958,1,0,6
13,37,8959,12101,1,0,2
14,9,12102,12538,0,1,2
15,13,12539,12626,0,1,6
16,12,12627,13698,0,1,5
17,5,13699,14576,0,0,5
18,40,14577,16079,1,0,5
19,33,16080,17742,0,4,5
20,28,17743,17825,0,4,0
21,63,17826,19098,2,0,0
22,38,19099,19434,1,0,3
23,37,19435,19876,1,0,2
24,63,19877,21556,2,0,0
25,36,21557,22336,1,0,1
26,63,22337,22732,2,0,0
27,7,22733,27031,0,1,0
28,28,27032,31035,0,4,0
29,63,31036,31075,2,0,0
30,28,31076,31650,0,4,0
31,35,31651,32485,1,0,0
32,38,32486,33217,1,0,3
33,63,33218,35021,2,0,0
34,35,35022,36914,1,0,0
35,28,36915,39216,0,4,0
36,31,39217,39373,0,4,3
37,24,39374,40597,0,3,3
38,21,40598,42486,0,3,0
39,0,42487,42507,0,0,0
40,28,42508,42749,0,4,0
41,35,42750,43825,1,0,0
42,36,43826,44550,1,0,1
43,39,44551,44633,1,0,4
44,45,44634,44781,1,1,4
45,64,44782,45186,2,0,1
46,35,45187,45948,1,0,0
47,36,45949,46024,1,0,1
48,15,46025,46480,0,2,1
49,14,46481,47334,0,2,0
50,15,47335,47369,0,2,1
51,36,47370,47390,1,0,1
52,35,47391,47515,1,0,0
53,36,47516,47694,1,0,1
54,92,47695,47960,3,0,1
55,64,47961,48313,2,0,1
56,14,48314,48540,0,2,0
57,64,48541,49979,2,0,1
58,36,49980,53083,1,0,1
59,64,53084,55000,2,0,1
60,92,55001,58671,3,0,1
61,64,58672,58813,2,0,1
62,63,58814,59405,2,0,0
63,91,59406,59653,3,0,0
64,63,59654,61251,2,0,0
65,35,61252,61473,1,0,0
66,7,61474,61503,0,1,0
67,21,61504,61524,0,3,0
