gr,name,start,end,topology,int_1,int_2
1,5,0,431,0,0,5
2,96,432,2130,3,0,5
3,97,2131,3000,3,0,6
4,7,3001,3127,0,1,0
5,13,3128,3502,0,1,6
6,52,3503,4352,1,2,6
7,69,4353,4581,2,0,6
8,67,4582,5243,2,0,4
9,66,5244,5669,2,0,3
10,0,5670,5802,0,0,0
11,3,5803,6490,0,0,3
12,6,6491,7138,0,0,6
13,3,7139,8432,0,0,3
14,31,8433,9828,0,4,3
15,34,9829,10677,0,4,6
16,41,10678,11183,1,0,6
17,6,11184,12056,0,0,6
18,41,12057,13183,1,0,6
19,6,13184,13471,0,0,6
20,2,13472,15393,0,0,2
21,6,15394,16020,0,0,6
22,69,16021,16307,2,0,6
23,97,16308,16661,3,0,6
24,35,16662,17175,1,0,0
25,69,17176,18031,2,0,6
26,97,18032,18384,3,0,6
27,21,18385,18652,0,3,0
28,27,18653,19782,0,3,6
29,26,19783,21205,0,3,5
30,27,21206,21304,0,3,6
31,21,21305,22425,0,3,0
32,63,22426,22650,2,0,0
33,21,22651,24107,0,3,0
34,63,24108,24868,2,0,0
35,91,24869,25179,3,0,0
36,35,25180,25411,1,0,0
37,41,25412,26285,1,0,6
38,69,26286,26753,2,0,6
39,52,26754,27631,1,2,6
40,93,27632,28528,3,0,2
41,14,28529,29208,0,2,0
42,16,29209,29302,0,2,2
43,2,29303,29872,0,0,2
44,0,29873,30872,0,0,0
45,5,30873,31456,0,0,5
46,6,31457,31561,0,0,6
47,97,31562,31814,3,0,6
48,0,31815,33663,0,0,0
49,96,33664,34947,3,0,5
50,92,34948,35138,3,0,1
51,97,35139,35702,3,0,6
52,35,35703,36173,1,0,0
53,92,36174,36476,3,0,1
54,63,36477,37001,2,0,0
55,0,37002,37369,0,0,0
56,63,37370,37403,2,0,0
57,91,37404,37892,3,0,0
58,28,37893,38954,0,4,0
59,63,38955,43495,2,0,0
60,91,43496,45845,3,0,0
61,28,45846,47144,0,4,0
62,14,47145,47805,0,2,0
63,28,47806,48029,0,4,0
64,14,48030,48031,0,2,0
65,28,48032,49089,0,4,0
66,91,49090,49499,3,0,0
67,41,49500,49925,1,0,6
68,38,49926,50484,1,0,3
69,41,50485,51890,1,0,6
70,40,51891,51895,1,0,5
71,41,51896,52156,1,0,6
72,37,52157,52451,1,0,2
73,63,52452,52861,2,0,0
74,91,52862,54055,3,0,0
75,96,54056,54127,3,0,5
76,97,54128,54902,3,0,6
77,28,54903,56275,0,4,0
78,63,56276,57349,2,0,0
79,35,57350,57698,1,0,0
80,95,57699,57759,3,0,4
81,14,57760,59009,0,2,0
82,67,59010,59974,2,0,4
83,35,59975,60064,1,0,0
84,7,60065,61158,0,1,0
85,35,61159,62593,1,0,0
86,91,62594,62751,3,0,0
87,28,62752,63776,0,4,0
88,35,63777,65765,1,0,0
89,28,65766,65829,0,4,0
90,35,65830,66196,1,0,0
91,7,66197,66785,0,1,0
92,35,66786,67482,1,0,0
93,28,67483,67988,0,4,0
94,21,67989,68286,0,3,0
95,28,68287,68939,0,4,0
96,35,68940,72009,1,0,0
97,63,72010,72298,2,0,0
98,0,72299,73215,0,0,0
99,28,73216,73220,0,4,0
100,91,73221,73921,3,0,0
101,28,73922,74424,0,4,0
102,14,74425,75206,0,2,0
103,28,75207,75617,0,4,0
104,63,75618,76741,2,0,0
105,14,76742,80514,0,2,0
106,91,80515,81096,3,0,0
107,28,81097,81689,0,4,0
108,14,81690,83445,0,2,0
109,91,83446,84110,3,0,0
110,7,84111,85614,0,1,0
111,35,85615,85816,1,0,0
112,14,85817,86168,0,2,0
113,35,86169,86424,1,0,0
114,91,86425,86850,3,0,0
115,63,86851,88309,2,0,0
116,35,88310,88314,1,0,0
117,21,88315,89573,0,3,0
118,35,89574,95300,1,0,0
119,91,95301,95396,3,0,0
120,21,95397,97115,0,3,0
121,14,97116,99613,0,2,0
122,28,99614,101358,0,4,0
123,7,101359,102838,0,1,0
124,14,102839,105570,0,2,0
125,7,105571,110468,0,1,0
126,14,110469,113150,0,2,0
127,7,113151,113728,0,1,0
128,10,113729,114909,0,1,3
129,13,114910,115224,0,1,6
130,10,115225,115654,0,1,3
131,7,115655,117054,0,1,0
132,66,117055,117858,2,0,3
133,65,117859,119064,2,0,2
134,21,119065,119934,0,3,0
135,93,119935,122197,3,0,2
136,21,122198,122336,0,3,0
137,0,122337,122982,0,0,0
138,2,122983,124796,0,0,2
139,93,124797,125076,3,0,2
140,94,125077,125314,3,0,3
141,93,125315,125642,3,0,2
142,91,125643,126146,3,0,0
143,28,126147,126265,0,4,0
144,91,126266,126559,3,0,0
145,21,126560,126893,0,3,0
146,91,126894,128185,3,0,0
147,21,128186,133956,0,3,0
148,28,133957,134252,0,4,0
149,30,134253,136608,0,4,2
150,65,136609,137872,2,0,2
151,30,137873,139580,0,4,2
152,9,139581,141266,0,1,2
153,12,141267,141662,0,1,5
154,8,141663,142130,0,1,1
155,12,142131,144124,0,1,5
156,19,144125,144246,0,2,5
157,14,144247,144780,0,2,0
158,7,144781,145841,0,1,0
159,65,145842,146910,2,0,2
160,14,146911,147012,0,2,0
161,65,147013,147099,2,0,2
162,35,147100,147212,1,0,0
163,65,147213,148025,2,0,2
164,93,148026,149140,3,0,2
165,65,149141,149240,2,0,2
166,14,149241,150262,0,2,0
167,35,150263,151568,1,0,0
168,14,151569,157741,0,2,0
169,28,157742,159716,0,4,0
170,14,159717,159818,0,2,0
171,35,159819,159820,1,0,0
172,63,159821,160001,2,0,0
173,35,160002,160077,1,0,0
174,63,160078,161259,2,0,0
175,91,161260,162747,3,0,0
176,28,162748,164059,0,4,0
177,91,164060,165524,3,0,0
178,14,165525,166860,0,2,0
179,28,166861,167778,0,4,0
180,94,167779,167894,3,0,3
181,28,167895,168335,0,4,0
182,33,168336,169759,0,4,5
183,40,169760,170532,1,0,5
184,33,170533,171550,0,4,5
185,40,171551,172117,1,0,5
186,36,172118,173261,1,0,1
187,29,173262,174569,0,4,1
188,34,174570,175371,0,4,6
189,97,175372,175833,3,0,6
190,95,175834,176110,3,0,4
191,7,176111,176296,0,1,0
192,8,176297,176642,0,1,1
193,10,176643,176786,0,1,3
194,3,176787,176978,0,0,3
195,4,176979,177558,0,0,4
196,1,177559,178801,0,0,1
197,4,178802,179378,0,0,4
198,82,179379,180760,2,3,4
199,4,180761,182053,0,0,4
200,11,182054,182519,0,1,4
201,12,182520,183680,0,1,5
202,11,183681,184747,0,1,4
203,85,184748,185286,2,4,4
204,39,185287,186322,1,0,4
205,4,186323,186623,0,0,4
206,39,186624,186823,1,0,4
207,25,186824,186989,0,3,4
208,39,186990,187995,1,0,4
209,40,187996,188855,1,0,5
210,41,188856,189993,1,0,6
211,39,189994,190577,1,0,4
212,63,190578,191344,2,0,0
213,35,191345,192412,1,0,0
214,93,192413,192668,3,0,2
215,96,192669,193992,3,0,5
216,97,193993,194257,3,0,6
217,75,194258,195441,2,1,6
218,92,195442,196430,3,0,1
219,29,196431,197495,0,4,1
220,32,197496,197689,0,4,4
221,11,197690,198062,0,1,4
222,32,198063,198471,0,4,4
223,29,198472,198475,0,4,1
224,32,198476,199947,0,4,4
225,34,199948,199999,0,4,6
