name,topology,int_1,int_2
0,0,0,0
1,0,0,1
2,0,0,2
3,0,0,3
4,0,1,0
5,0,1,1
6,0,1,2
7,0,1,3
8,0,2,0
9,0,2,1
10,0,2,2
11,0,2,3
12,0,3,0
13,0,3,1
14,0,3,2
15,0,3,3
16,0,4,0
17,0,4,1
18,0,4,2
19,0,4,3
20,1,0,0
21,1,0,1
22,1,0,2
23,1,0,3
24,1,1,1
25,1,1,2
26,1,1,3
27,1,2,2
28,1,2,3
29,1,3,3
30,2,0,0
31,2,0,1
32,2,0,2
33,2,0,3
34,2,1,1
35,2,1,2
36,2,1,3
37,2,2,2
38,2,2,3
39,2,3,3
40,3,0,0
41,3,0,1
42,3,0,2
43,3,0,3
44,3,1,1
45,3,1,2
46,3,1,3
47,3,2,2
48,3,2,3
49,3,3,3
