gr,name,start,end,topology,int_1,int_2
235,93,176543,177267,3,0,2
236,43,177268,178041,1,1,2
237,105,178042,178709,3,2,3
238,3,178710,178950,0,0,3
239,105,178951,180775,3,2,3
240,2,180776,181526,0,0,2
241,30,181527,181835,0,4,2
242,2,181836,181858,0,0,2
243,3,181859,182278,0,0,3
244,5,182279,184450,0,0,5
245,4,184451,184676,0,0,4
246,0,184677,185574,0,0,0
247,5,185575,185731,0,0,5
248,107,185732,186344,3,2,5
249,96,186345,186792,3,0,5
250,95,186793,186858,3,0,4
251,94,186859,186994,3,0,3
252,14,186995,187013,0,2,0
253,66,187014,187376,2,0,3
254,72,187377,187382,2,1,3
255,66,187383,187466,2,0,3
256,77,187467,188148,2,2,3
257,49,188149,188288,1,2,3
258,104,188289,189153,3,2,2
259,105,189154,189418,3,2,3
260,66,189419,189508,2,0,3
261,21,189509,190209,0,3,0
262,93,190210,191521,3,0,2
263,49,191522,191777,1,2,3
264,105,191778,192515,3,2,3
265,77,192516,192928,2,2,3
266,10,192929,194376,0,1,3
267,105,194377,194824,3,2,3
268,10,194825,195934,0,1,3
269,38,195935,199999,1,0,3
