n_int_AB,n_int_ABC,rep,time_trans,time_post
1,1,0,1.469801950454712,67.95916700363159
1,1,1,1.4137468338012695,67.88038396835327
1,1,2,1.4787440299987793,67.33603692054749
1,1,3,1.4890897274017334,67.81726717948914
1,1,4,1.5977058410644531,67.81871700286865
1,2,0,28.041709899902344,67.4667100906372
1,2,1,26.448750734329224,67.76668000221252
1,2,2,28.292357921600342,67.70319390296936
1,2,3,27.994347095489502,67.59743189811707
1,2,4,30.021317958831787,67.97311902046204
1,3,0,76.14085102081299,68.59202980995178
1,3,1,72.32418298721313,68.94335007667542
1,3,2,71.21433281898499,68.85881090164185
1,3,3,72.72023487091064,69.2938859462738
1,3,4,74.3385968208313,69.0890851020813
1,4,0,148.46920132637024,70.90370774269104
1,4,1,144.27667999267578,70.08778381347656
1,4,2,144.531986951828,70.47884726524353
1,4,3,145.5784740447998,69.79813408851624
1,4,4,144.42644095420837,70.30450201034546
1,5,0,151.1007218360901,71.2450041770935
1,5,1,153.895024061203,71.51283192634583
1,5,2,150.45273089408875,70.67442512512207
1,5,3,155.79695582389832,72.86629915237427
1,5,4,152.72720885276794,71.11759996414185
1,6,0,223.42720413208008,73.91743206977844
1,6,1,224.64986515045166,72.54992699623108
1,6,2,225.95447897911072,72.95466804504395
1,6,3,226.04287219047546,72.14341187477112
1,6,4,223.9160442352295,73.031329870224
1,7,0,290.2512741088867,75.74673676490784
1,7,1,291.1676490306854,74.70993494987488
1,7,2,284.2282519340515,74.58762407302856
1,7,3,294.4823200702667,75.4762749671936
1,7,4,283.92706203460693,74.9008469581604
2,1,0,4.918779134750366,67.84591484069824
2,1,1,3.9669601917266846,67.19593667984009
2,1,2,3.902400016784668,67.5273208618164
2,1,3,4.569628000259399,68.12212610244751
2,1,4,4.427321910858154,67.38320088386536
2,2,0,32.98097372055054,67.74936699867249
2,2,1,35.57972002029419,67.87416982650757
2,2,2,33.42091226577759,67.70673179626465
2,2,3,35.16742992401123,68.2240161895752
2,2,4,33.063034772872925,67.73793315887451
2,3,0,80.42078113555908,68.79396295547485
2,3,1,76.47934699058533,69.38392400741577
2,3,2,78.62236189842224,69.39333701133728
2,3,3,78.38309097290039,69.75209307670593
2,3,4,76.79335284233093,69.00248408317566
2,4,0,146.5163857936859,72.096262216568
2,4,1,152.16325402259827,69.92384910583496
2,4,2,150.35011506080627,69.78605389595032
2,4,3,150.19235682487488,69.76532006263733
2,4,4,149.40856003761292,70.66278672218323
2,5,0,156.03310418128967,71.21752285957336
2,5,1,156.82767987251282,71.77063226699829
2,5,2,159.05773901939392,71.26256585121155
2,5,3,158.0893111228943,73.08683013916016
2,5,4,157.32107973098755,71.43374419212341
2,6,0,226.03051495552063,73.9623339176178
2,6,1,224.6071379184723,74.2147262096405
2,6,2,228.02142310142517,73.13346672058105
2,6,3,228.16072511672974,73.233234167099
2,6,4,227.47160863876343,73.28545618057251
2,7,0,292.28624081611633,115.94378900527954
2,7,1,290.7527198791504,113.02957701683044
2,7,2,288.2757177352905,123.99863910675049
2,7,3,287.7018311023712,126.31591200828552
2,7,4,291.21970200538635,129.27561902999878
3,1,0,4.990544080734253,67.23885202407837
3,1,1,4.868022918701172,68.04988718032837
3,1,2,6.131592035293579,67.51025915145874
3,1,3,4.659747123718262,67.53150582313538
3,1,4,4.999672174453735,67.43035387992859
3,2,0,34.49467635154724,68.33336663246155
3,2,1,35.539401054382324,67.79364705085754
3,2,2,34.65718078613281,68.4186999797821
3,2,3,34.17884373664856,67.86029529571533
3,2,4,36.91842317581177,67.6980710029602
3,3,0,78.7547459602356,68.79772400856018
3,3,1,79.3645989894867,68.93044519424438
3,3,2,78.19473004341125,69.17784905433655
3,3,3,77.04759097099304,69.00398993492126
3,3,4,80.86725568771362,73.38086724281311
3,4,0,152.32220101356506,70.14342308044434
3,4,1,151.51803016662598,69.9306948184967
3,4,2,152.19730520248413,70.2414939403534
3,4,3,150.00666403770447,69.70849394798279
3,4,4,152.5156660079956,70.56641888618469
